WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
vote	7.666666666669999		7.155555555558666	choice		0.9333333333333333
kid	6.5		5.909090909090909	tease		0.9090909090909091
homo	7.0		6.461538461538462	primate		0.9230769230769231
man	2.25		2.131578947368421	black		0.9473684210526315
hired_hand	7.5		6.875	cleaner	Y	0.9166666666666666
hand	8.0		7.529411764705882	right		0.9411764705882353
lupus_erythematosus	3.0		2.727272727272727	disease	Y	0.9090909090909091
pen	3.0		2.88	swan		0.96
make	7.5		6.818181818181818	tidy		0.9090909090909091
typify	2.85714285714		2.6890756302494117	mean		0.9411764705882353
represent	6.5		5.909090909090909	remonstrate		0.9090909090909091
danger	2.75		2.5384615384615388	riskiness		0.9230769230769231
risk	2.75		2.6052631578947367	venture		0.9473684210526315
exercise	2.83333333333		2.698412698409524	stretch		0.9523809523809523
set	2.83333333333	Y	2.5757575757545457	stretch		0.9090909090909091
act	2.75		2.5	waste		0.9090909090909091
campaign	2.75		2.6052631578947367	venture		0.9473684210526315
fare	2.7142857142900003		2.505494505498462	chow		0.9230769230769231
snip	2.85714285714		2.5974025974	top		0.9090909090909091
use	1.7142857142857095		1.5999999999999956	misuse		0.9333333333333333
hairdo	6.85714285714		6.496240601501053	braid		0.9473684210526315
knock	2.75		2.588235294117647	blow		0.9411764705882353
attire	2.3333333333333304		2.210526315789471	outfit		0.9473684210526315
indigence	3.0		2.8235294117647056	beggary	Y	0.9411764705882353
desire	2.66666666667		2.4615384615415383	sexual_desire		0.9230769230769231
tincture_of_iodine	7.8		7.341176470588235	antiseptic	Y	0.9411764705882353
drop	6.5		6.117647058823529	correction		0.9411764705882353
contract	3.5		3.1818181818181817	catch		0.9090909090909091
sum	2.8		2.5846153846153848	gross		0.9230769230769231
drive	2.85714285714		2.6890756302494117	mean		0.9411764705882353
descent	1.4		1.2923076923076924	steep		0.9230769230769231
get	2.75		2.5384615384615388	overhead		0.9230769230769231
hail	2.75		2.6052631578947367	precipitation		0.9473684210526315
fall	1.85714285714		1.714285714283077	sin		0.9230769230769231
give	2.83333333333		2.5757575757545457	stretch		0.9090909090909091
experience	2.25		2.076923076923077	appalling	Y	0.9230769230769231
control	7.57142857143		7.0666666666680005	restraint		0.9333333333333333
consume	2.85714285714		2.5974025974	fritter		0.9090909090909091
provoke	3.0		2.727272727272727	stool		0.9090909090909091
gull	3.0		2.769230769230769	deceive		0.9230769230769231
birth	7.4		6.7272727272727275	beginning		0.9090909090909091
accept	1.875	Y	1.7045454545454546	digest		0.9090909090909091
reserve	7.75		7.153846153846154	keep_open		0.9230769230769231
feature	6.5		6.0	jaw		0.9230769230769231
delay	8.333333333330001		7.777777777774668	forbearance		0.9333333333333333
throw	3.0		2.8695652173913047	cast		0.9565217391304348
killing	3.2		3.0476190476190474	fell		0.9523809523809523
kill	2.75		2.5	laying_waste		0.9090909090909091
frustration	2.375		2.235294117647059	annoyance		0.9411764705882353
