WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
vote	4.16666666666667		3.9215686274509833	veto		0.9411764705882353
kid	5.16666666667		4.696969696972728	tease		0.9090909090909091
piece	3.0	Y	2.8	distance		0.9333333333333333
man	4.5		4.263157894736842	black		0.9473684210526315
world	6.0		5.454545454545454	class		0.9090909090909091
gentleman	7.666666666669999		7.301587301590475	Don		0.9523809523809523
military_personnel	4.75		4.433333333333334	garrison		0.9333333333333333
serviceman	6.333333333330001		6.031746031742857	draftee		0.9523809523809523
hand	7.6		7.269565217391304	side		0.9565217391304348
slice	4.8		4.430769230769231	share		0.9230769230769231
pen	4.5		4.32	swan		0.96
cost	2.8		2.6133333333333333	charge		0.9333333333333333
represent	4.5		4.263157894736842	describe		0.9473684210526315
appoint	3.0		2.727272727272727	co-opt	Y	0.9090909090909091
embody	6.4		6.095238095238095	exemplify		0.9523809523809523
body	6.875	Y	6.346153846153847	human_body		0.9230769230769231
monetary_value	3.6		3.3230769230769233	value		0.9230769230769231
price	3.6		3.3230769230769233	value		0.9230769230769231
risk	6.0		5.454545454545454	raise		0.9090909090909091
danger	5.16666666667		4.696969696972728	condition		0.9090909090909091
act	7.2		6.776470588235294	decree		0.9411764705882353
brawl	3.85714285714		3.630252100837647	fight		0.9411764705882353
fare	2.8		2.635294117647059	charge		0.9411764705882353
dress	2.8		2.6666666666666665	chemise		0.9523809523809523
serve	6.166666666669999		5.920000000003199	let		0.96
brand	6.0		5.684210526315789	kind		0.9473684210526315
answer	8.0		7.384615384615385	rescript		0.9230769230769231
solution	7.285714285710001		6.623376623372728	statement		0.9090909090909091
write_out	8.0		7.2727272727272725	check		0.9090909090909091
exercise	4.6		4.3809523809523805	set		0.9523809523809523
practice	3.4		3.1733333333333333	nonconformism		0.9333333333333333
set	5.16666666667	Y	4.822222222225333	placement		0.9333333333333333
suffice	4.8		4.363636363636363	serve		0.9090909090909091
progress	2.8		2.6526315789473682	push		0.9473684210526315
command	2.8	Y	2.6526315789473682	charge		0.9473684210526315
desire	4.75		4.384615384615385	urge		0.9230769230769231
wish	7.2		6.6461538461538465	order		0.9230769230769231
need	5.16666666667		4.696969696972728	condition		0.9090909090909091
ask	7.666666666669999		7.263157894739999	give_voice		0.9473684210526315
ace	4.8		4.608	serve		0.96
issue	4.16666666667		3.7878787878818185	digest		0.9090909090909091
approach	4.5	Y	4.125	hook		0.9166666666666666
fall	4.28571428571		3.9560439560400003	sin		0.9230769230769231
