WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
vote	4.16666666666667	Y	3.9215686274509833	veto		0.9411764705882353
kid	4.28571428571		3.8961038961	tease		0.9090909090909091
embody	6.4		6.095238095238095	exemplify		0.9523809523809523
danger	5.16666666667		4.696969696972728	condition		0.9090909090909091
suffice	4.8		4.363636363636363	serve	Y	0.9090909090909091
command	4.16666666666667		3.947368421052634	forbid	Y	0.9473684210526315
need	5.16666666667	Y	4.696969696972728	condition		0.9090909090909091
hold	6.833333333330001		6.307692307689232	control		0.9230769230769231
control	7.142857142857139	Y	6.59340659340659	authority		0.9230769230769231
reserve	5.0		4.615384615384616	keep_open		0.9230769230769231
kill	4.16666666666667		3.8888888888888915	veto		0.9333333333333333
imposter	1.75		1.5909090909090908	double-crosser		0.9090909090909091
first_base	5.16666666667		4.862745098042353	position		0.9411764705882353
first	6.466666666666666	Y	5.9692307692307685	rank	Y	0.9230769230769231
attack	4.0		3.6363636363636362	knock		0.9090909090909091
rung	3.0		2.75	thwart	Y	0.9166666666666666
election	7.6	Y	6.909090909090908	status		0.9090909090909091
left	5.16666666667	Y	4.769230769233847	position		0.9230769230769231
leave	6.5	Y	6.0	permission	Y	0.9230769230769231
call	7.285714285710001		6.857142857138824	instruction		0.9411764705882353
Marine	6.333333333330001		5.757575757572727	draftee		0.9090909090909091
marine	7.0	Y	6.461538461538462	orderly	Y	0.9230769230769231
digest	3.85714285714		3.506493506490909	accept	Y	0.9090909090909091
keep_open	2.83333333333		2.6153846153815388	reserve		0.9230769230769231
idea	5.0		4.615384615384616	impression		0.9230769230769231
thought	5.0		4.615384615384616	belief	Y	0.9230769230769231
opinion	5.0		4.615384615384616	belief	Y	0.9230769230769231
strive	4.28571428571		3.8961038961	trouble_oneself		0.9090909090909091
understanding	2.83333333333	Y	2.6666666666635295	appreciation		0.9411764705882353
agreement	6.0	Y	5.538461538461538	submission	Y	0.9230769230769231
blame	4.0		3.6363636363636362	knock		0.9090909090909091
world	6.0	Y	5.454545454545454	class		0.9090909090909091
dominance	6.833333333330001		6.307692307689232	domination	Y	0.9230769230769231
allowance	2.4		2.2153846153846155	discrepancy		0.9230769230769231
tolerance	3.0	Y	2.769230769230769	disinterest	Y	0.9230769230769231
face	7.6	Y	6.909090909090908	status		0.9090909090909091
stand	4.57142857143	Y	4.330827067670526	table		0.9473684210526315
point_of_view	5.16666666667		4.769230769233847	position		0.9230769230769231
love	7.0	Y	6.533333333333333	worship		0.9333333333333333
people	6.875	Y	6.470588235294118	family		0.9411764705882353
order	7.285714285710001		6.857142857138824	command	Y	0.9411764705882353
formulation	6.25		5.681818181818182	honorific	Y	0.9090909090909091
hood	2.16666666667		2.0724637681191305	criminal		0.9565217391304348
audacity	6.0	Y	5.6	boldness		0.9333333333333333
question	4.75		4.318181818181818	subject		0.9090909090909091
indulgence	5.16666666667	Y	4.696969696972728	indiscipline	Y	0.9090909090909091
status	6.75		6.136363636363636	caste	Y	0.9090909090909091
position	6.0		5.647058823529411	fatherhood	Y	0.9411764705882353
situation	4.0		3.6923076923076925	stymie		0.9230769230769231
place	8.0		7.384615384615385	order		0.9230769230769231
set	5.16666666667	Y	4.822222222225333	placement		0.9333333333333333
pose	5.16666666667		4.769230769233847	position		0.9230769230769231
star	6.166666666669999		5.606060606063636	Grant		0.9090909090909091
lead	8.8	Y	8.213333333333335	leadership	Y	0.9333333333333333
stay	8.0	Y	7.578947368421052	decree		0.9473684210526315
ally	7.666666666669999	Y	7.301587301590475	blood_brother		0.9523809523809523
supporter	7.8		7.389473684210525	loyalist	Y	0.9473684210526315
admiration	6.666666666669999		6.349206349209523	adoration	Y	0.9523809523809523
aid	6.166666666669999		5.803921568630588	grant		0.9411764705882353
assistant	6.4		6.063157894736842	model		0.9473684210526315
care	4.8	Y	4.591304347826087	overhaul		0.9565217391304348
lineage	6.875		6.416666666666667	family		0.9333333333333333
line	4.66666666667	Y	4.3921568627482355	orphan	Y	0.9411764705882353
occupation	5.16666666667		4.822222222225333	position		0.9333333333333333
sphere	5.0		4.666666666666667	preserve		0.9333333333333333
knowledge_domain	4.75		4.384615384615385	discipline		0.9230769230769231
Son	6.0		5.454545454545454	Father		0.9090909090909091
word	8.0	Y	7.529411764705882	order		0.9411764705882353
