WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
abuse	2.66666666667		2.4615384615415383	attack	Y	0.9230769230769231
cheer	1.0	Y	0.9230769230769231	bravo		0.9230769230769231
mutilate	1.6		1.4545454545454546	maim	Y	0.9090909090909091
forge	2.83333333333		2.6444444444413335	workplace		0.9333333333333333
touch	2.66666666667		2.5098039215717645	attack	Y	0.9411764705882353
concern	8.57142857143		7.9120879120892305	sympathy	Y	0.9230769230769231
orderly	7.8		7.2	peacekeeper	Y	0.9230769230769231
hedge	8.0	Y	7.384615384615385	security		0.9230769230769231
magazine	2.4	Y	2.2736842105263158	press		0.9473684210526315
duty	2.83333333333	Y	2.6444444444413335	work		0.9333333333333333
influence	1.6666666666699999	Y	1.5384615384646154	force		0.9230769230769231
reform	1.6666666666699999	Y	1.5151515151545452	war	Y	0.9090909090909091
benefit	2.4	Y	2.1818181818181817	good		0.9090909090909091
writer	1.0		0.9473684210526315	Buck		0.9473684210526315
repair	8.799999999999997		8.380952380952378	care	Y	0.9523809523809523
jam	7.6		7.238095238095237	conserve		0.9523809523809523
detriment	3.0		2.8	damage	Y	0.9333333333333333
damage	3.0		2.8421052631578947	impairment		0.9473684210526315
injury	2.2857142857099997		2.165413533830526	wound		0.9473684210526315
distress	2.2857142857099997		2.133333333329333	wound		0.9333333333333333
happening	1.0	Y	0.9090909090909091	outbreak		0.9090909090909091
latest	1.8333333333333304	Y	1.6923076923076896	news		0.9230769230769231
base_runner	8.57142857143		7.79220779220909	Ruth		0.9090909090909091
smuggler	1.0		0.9166666666666666	murderer	Y	0.9166666666666666
kidnapper	1.0		0.9166666666666666	murderer	Y	0.9166666666666666
snatch	2.4	Y	2.2153846153846155	press		0.9230769230769231
performance	7.0	Y	6.533333333333333	benefit	Y	0.9333333333333333
citizen	7.8	Y	7.389473684210525	civilian	Y	0.9473684210526315
cast	2.2	Y	2.0842105263157897	bandage	Y	0.9473684210526315
confidence	5.42857142857		5.010989010987692	friendship	Y	0.9230769230769231
argue	4.0		3.6923076923076925	quarrel		0.9230769230769231
change	3.0	Y	2.769230769230769	damage	Y	0.9230769230769231
hit	8.2	Y	7.768421052631578	base_hit		0.9473684210526315
city	1.0	Y	0.9473684210526315	Bam		0.9473684210526315
trouble	2.66666666667		2.4615384615415383	onslaught		0.9230769230769231
protest	3.2	Y	2.953846153846154	oppose		0.9230769230769231
smack	3.4		3.090909090909091	punch		0.9090909090909091
rede	2.4		2.2399999999999998	urge		0.9333333333333333
improvement	7.6		7.152941176470588	conservation		0.9411764705882353
security	6.0	Y	5.76	precaution		0.96
fell	1.6		1.5238095238095237	killing		0.9523809523809523
police	1.6666666666699999		1.5384615384646154	force		0.9230769230769231
clean_and_jerk	2.4		2.2153846153846155	press		0.9230769230769231
ailment	3.8333333333333295		3.5777777777777744	disorder		0.9333333333333333
transgress	4.0		3.6363636363636362	conflict		0.9090909090909091
fracture	2.2857142857099997		2.165413533830526	injury		0.9473684210526315
break_in	2.6		2.4000000000000004	trespass		0.9230769230769231
break	8.2	Y	7.454545454545453	safety	Y	0.9090909090909091
open_frame	8.2		7.454545454545453	safety	Y	0.9090909090909091
presumption	5.0		4.705882352941177	discourtesy		0.9411764705882353
