WORD	EXPRESSED_MORAL	word_matches_potential_word_from data	adjusted_endorsement	most_similar_moral_word	word_matches_moral_word_from_original lexicon	similarity
atheistical	3.2
austerians	5.666666666669999
austerities	5.666666666669999
austerity	5.666666666669999
austerity-driven	5.666666666669999
austerity-lite	5.666666666669999
bacchanalia	2.2
bacchanalian	2.2
backslider	2.42857142857
barbarous	3.2
baseness	3.0
bashfulness	8.166666666669999
beatification	8.0
beatified	8.0
bed-hopping	3.14285714286
beggary	3.0
belt-tightening	5.666666666669999
besmirch	3.66666666667
bishop	7.0
blacken	3.66666666667
blackguardly	2.6
bland	5.33333333333333
blas-	3.5714285714300003
blasphemer	2.5714285714300003
blasphemous	3.2
blemish	4.0
blemished	4.0
blemishes	4.0
blemishing	4.0
blotch	4.0
bppv	4.8
brazen	2.6
brothels	3.28571428571
burnish	3.66666666667
canonisation	8.0
canonization	8.0
canonizing	8.0
capableness	8.333333333330001
catholic	6.0
catholicism	6.0
celebacy	7.625
celebate	8.0
celibacy	8.0
celibate	7.625
celibates	8.0
cesspit	2.2
cesspool	2.2
chaste	7.57142857143
chastely	7.57142857143
chasten	6.5
chastened	6.5
chasteness	7.57142857143
chasteneth	6.5
chastening	6.5
chastens	6.5
chastisement	6.5
chastity	8.0
chruch	6.833333333330001
church	6.833333333330001
church-attending	7.4
church-goer	5.42857142857
church-goers	7.4
church-going	7.4
church-member	7.4
churches	6.833333333330001
churchgoer	7.4
churchgoers	5.42857142857
churchgoing	5.42857142857
churchman	7.0
claen	7.666666666669999
clean	7.666666666669999
clean-ups	6.5
cleanand	7.666666666669999
cleaner	7.5
cleaniless	7.6
cleaning-up	6.5
cleanliness	7.6
cleanness	7.6
cleanse	8.0
cleansed	8.0
cleanses	8.0
cleansing	8.0
cleanup	6.5
clergyman	7.0
clergymen	7.0
concupiscence	2.66666666667
congregation	6.833333333330001
conserve	6.833333333330001
contagion	2.7142857142900003
contagious	3.5
contagiously	3.5
contagiousness	2.7142857142900003
contaminated	2.83333333333
courtezan	2.6
crass	5.33333333333333
crossbred	6.5
cumslut	2.75
cunt	2.75
cussing	2.6
cusswords	2.6
debauched	2.2
debauchee	2.6
debaucheries	2.2
debaucherous	2.2
debauchery	2.2
decent	8.0
decent-enough	8.0
decent-ish	8.0
decentalisation	5.0
decorum	8.166666666669999
defilement	2.76923076923
defiling	2.75
deflowered	7.555555555560001
dejection	3.0
deluded	3.0
deluding	3.0
delusion	3.0
delusional	3.0
delusionary	3.0
delusioned	3.0
demure	7.57142857143
demureness	8.166666666669999
deodorizer	7.83333333333333
depraved	3.25
depravity	3.25
desecrate	2.75
desecrated	2.75
desecrates	2.75
desecrating	2.75
desecration	2.75
desecrators	2.75
despicable	3.25
destitution	3.0
detestably	5.0
devastate	2.75
deviancy	1.7142857142857095
deviant	3.25
devilish	1.85714285714
devout	7.0
devoutness	7.42857142857
diabolical	1.85714285714
dirt	2.375
dirtier	7.5
dirtiest	3.0
dirtily	3.22222222222
dirtiness	2.2
dirty	3.0
dirtyness	2.76923076923
discolored	2.6
disease	3.0
disgraceful	2.25
disgusting	2.0
disgustingly	5.0
disgustingness	2.16666666667
disreputably	3.22222222222
dissolute	2.6
dissoluteness	3.5714285714300003
distasteful	2.42857142857
dizziness	4.8
dizzy	4.8
dizzyness	4.8
dreadful	1.875
drunkeness	2.2
dust	2.375
ecclesiastic	7.0
endanger	2.75
epidemics	2.7142857142900003
erectly	6.0
evil	1.85714285714
ex-priest	7.2
excommunicated	2.5714285714300003
excrement	2.2
execrable	1.875
expletives	2.6
exploit	3.16666666667
exploitable	3.16666666667
exploitatory	2.7142857142900003
exploited	3.16666666667
exploiting	3.16666666667
f-bombs	2.6
febreeze	7.83333333333333
filth	2.2
filthiest	2.0
filthily	5.0
filthiness	2.2
filthy	2.0
fine-tuned	6.85714285714
fittingness	8.333333333330001
flavorless	5.33333333333333
flavourless	5.33333333333333
flithy	5.0
floozy	3.0
fornication	1.5
foulness	2.16666666667
freshener	7.83333333333333
freshners	7.83333333333333
fuckpig	2.75
full-bred	6.5
ghastly	1.875
glass-clear	4.5
god-fearing	7.0
good	8.0
granitelike	8.333333333330001
gravel	2.375
grimy	3.0
gross	2.625
grossed	2.625
